epoc (ms),C_Gx,C_Gy,C_Gz,C_Ax,C_Ay,C_Az,Activity
1601655830786,0.64,0.457,0.198,-0.24,-0.07,0.944,Unknown
1601655830795,0.808,0.579,0.96,-0.236,-0.081,0.945,Unknown
1601655830805,2.47,2.454,0.991,-0.245,-0.089,0.948,Unknown
1601655830815,3.689,2.515,0.976,-0.261,-0.082,0.972,Unknown
1601655830825,0.686,-0.899,-0.076,-0.252,-0.083,0.988,Unknown
1601655830836,-3.369,-2.942,-1.113,-0.225,-0.094,0.971,Unknown
1601655830845,-3.506,-2.165,-0.579,-0.22,-0.086,0.946,Unknown
1601655830855,-2.683,-0.732,0.229,-0.233,-0.072,0.939,Unknown
1601655830865,-2.21,0.412,0.518,-0.237,-0.07,0.939,Unknown
1601655830875,-1.799,1.57,0.808,-0.226,-0.08,0.938,Unknown
1601655830884,-0.579,3.338,1.098,-0.223,-0.085,0.932,Unknown
1601655830894,-0.03,3.659,1.159,-0.231,-0.082,0.929,Unknown
1601655830905,-1.86,1.829,0.991,-0.226,-0.084,0.932,Unknown
1601655830915,-3.155,0.671,1.723,-0.219,-0.091,0.926,Unknown
1601655830925,-1.189,2.546,2.47,-0.237,-0.078,0.915,Unknown
1601655830934,0.366,1.463,1.951,-0.256,-0.063,0.923,Unknown
1601655830944,0.595,-2.241,0.229,-0.252,-0.066,0.941,Unknown
1601655830954,0.366,-1.997,-0.412,-0.228,-0.076,0.954,Unknown
1601655830965,1.341,0.64,-0.442,-0.227,-0.082,0.946,Unknown
1601655830975,1.479,-0.076,-0.549,-0.232,-0.083,0.954,Unknown
1601655830984,1.341,-0.335,-0.473,-0.231,-0.085,0.965,Unknown
1601655830994,1.921,-0.762,-0.579,-0.243,-0.083,0.963,Unknown
1601655831004,0.107,-3.079,-0.29,-0.249,-0.089,0.969,Unknown
1601655831014,-1.997,-1.86,1.006,-0.242,-0.094,0.951,Unknown
1601655831023,1.357,0.137,1.25,-0.231,-0.06,1.021,Unknown
1601655831033,-2.302,3.354,0.854,-0.281,-0.087,0.911,Unknown
1601655831044,-1.22,0.305,0.061,-0.242,-0.064,0.91,Unknown
1601655831054,-1.662,-1.22,-0.457,-0.211,-0.07,0.941,Unknown
1601655831063,0.091,2.424,-0.137,-0.229,-0.08,0.927,Unknown
1601655831073,2.104,3.598,-0.137,-0.245,-0.078,0.922,Unknown
1601655831083,0.412,-0.107,-0.427,-0.227,-0.084,0.941,Unknown
1601655831094,-0.595,0.046,-0.168,-0.215,-0.097,0.945,Unknown
1601655831104,0.137,1.25,0.473,-0.228,-0.096,0.935,Unknown
1601655831113,0.595,0.213,0.564,-0.238,-0.09,0.937,Unknown
1601655831123,0.351,-1.463,0.244,-0.235,-0.083,0.944,Unknown
1601655831133,-0.076,-2.104,0.046,-0.231,-0.086,0.945,Unknown
1601655831143,1.037,-0.899,0.137,-0.231,-0.084,0.943,Unknown
1601655831154,1.646,0.518,0.488,-0.235,-0.08,0.949,Unknown
1601655831162,1.113,1.128,0.549,-0.232,-0.082,0.951,Unknown
1601655831173,0.351,1.982,0.96,-0.224,-0.092,0.951,Unknown
1601655831183,0.747,3.521,1.479,-0.233,-0.091,0.948,Unknown
1601655831193,-0.152,1.311,1.174,-0.246,-0.085,0.955,Unknown
1601655831202,-1.829,-1.631,0.488,-0.235,-0.086,0.96,Unknown
1601655831212,-1.433,-0.838,0.488,-0.234,-0.085,0.948,Unknown
1601655831222,-0.244,0.29,0.96,-0.241,-0.076,0.945,Unknown
1601655831233,0.061,0.976,1.082,-0.246,-0.068,0.945,Unknown
1601655831243,-0.518,0.899,0.701,-0.243,-0.073,0.944,Unknown
1601655831252,-1.067,-0.488,0.655,-0.238,-0.078,0.94,Unknown
1601655831262,-1.86,-0.107,1.28,-0.228,-0.079,0.943,Unknown
1601655831272,-0.945,1.905,1.677,-0.233,-0.073,0.93,Unknown
1601655831283,-0.137,1.341,1.494,-0.235,-0.065,0.926,Unknown
