epoc (ms),C_Gx,C_Gy,C_Gz,C_Ax,C_Ay,C_Az
1601655830786,0.64,0.457,0.198,-0.24,-0.07,0.9440000000000001
1601655830795,0.8079999999999999,0.579,0.96,-0.23600000000000002,-0.081,0.945
1601655830805,2.47,2.454,0.991,-0.245,-0.08900000000000001,0.948
1601655830815,3.6889999999999996,2.515,0.976,-0.261,-0.08199999999999999,0.972
1601655830825,0.6859999999999999,-0.899,-0.076,-0.252,-0.083,0.988
1601655830836,-3.3689999999999998,-2.9419999999999997,-1.113,-0.225,-0.094,0.971
1601655830845,-3.5060000000000002,-2.165,-0.579,-0.22,-0.086,0.946
1601655830855,-2.6830000000000003,-0.732,0.22899999999999998,-0.233,-0.07200000000000001,0.9390000000000001
1601655830865,-2.21,0.41200000000000003,0.518,-0.237,-0.07,0.9390000000000001
1601655830875,-1.7990000000000002,1.57,0.8079999999999999,-0.226,-0.08,0.938
1601655830884,-0.579,3.338,1.0979999999999999,-0.223,-0.085,0.932
1601655830894,-0.03,3.659,1.159,-0.231,-0.08199999999999999,0.929
1601655830905,-1.86,1.829,0.991,-0.226,-0.084,0.932
1601655830915,-3.155,0.6709999999999999,1.723,-0.21899999999999997,-0.091,0.9259999999999999
1601655830925,-1.189,2.546,2.47,-0.237,-0.078,0.915
1601655830934,0.366,1.463,1.9509999999999998,-0.256,-0.063,0.9229999999999999
1601655830944,0.595,-2.241,0.22899999999999998,-0.252,-0.066,0.941
1601655830954,0.366,-1.9969999999999999,-0.41200000000000003,-0.228,-0.076,0.9540000000000001
1601655830965,1.341,0.64,-0.442,-0.22699999999999998,-0.08199999999999999,0.946
1601655830975,1.479,-0.076,-0.5489999999999999,-0.23199999999999998,-0.083,0.9540000000000001
1601655830984,1.341,-0.335,-0.473,-0.231,-0.085,0.965
1601655830994,1.921,-0.762,-0.579,-0.243,-0.083,0.963
1601655831004,0.107,-3.0789999999999997,-0.29,-0.249,-0.08900000000000001,0.9690000000000001
1601655831014,-1.9969999999999999,-1.86,1.006,-0.242,-0.094,0.951
1601655831023,1.357,0.13699999999999998,1.25,-0.231,-0.06,1.021
1601655831033,-2.302,3.3539999999999996,0.8540000000000001,-0.281,-0.087,0.9109999999999999
1601655831044,-1.22,0.305,0.061,-0.242,-0.064,0.91
1601655831054,-1.662,-1.22,-0.457,-0.21100000000000002,-0.07,0.941
1601655831063,0.091,2.424,-0.13699999999999998,-0.22899999999999998,-0.08,0.927
1601655831073,2.104,3.5980000000000003,-0.13699999999999998,-0.245,-0.078,0.922
