epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1601655830776,2020-10-02T12.23.50.776,0.000,-0.246,-0.072,0.924
1601655830786,2020-10-02T12.23.50.786,0.010,-0.240,-0.070,0.944
1601655830795,2020-10-02T12.23.50.795,0.019,-0.236,-0.081,0.945
1601655830805,2020-10-02T12.23.50.805,0.029,-0.245,-0.089,0.948
1601655830815,2020-10-02T12.23.50.815,0.039,-0.261,-0.082,0.972
1601655830825,2020-10-02T12.23.50.825,0.049,-0.252,-0.083,0.988
1601655830836,2020-10-02T12.23.50.836,0.060,-0.225,-0.094,0.971
1601655830845,2020-10-02T12.23.50.845,0.069,-0.220,-0.086,0.946
1601655830855,2020-10-02T12.23.50.855,0.079,-0.233,-0.072,0.939
1601655830865,2020-10-02T12.23.50.865,0.089,-0.237,-0.070,0.939
1601655830875,2020-10-02T12.23.50.875,0.099,-0.226,-0.080,0.938
1601655830884,2020-10-02T12.23.50.884,0.108,-0.223,-0.085,0.932
1601655830894,2020-10-02T12.23.50.894,0.118,-0.231,-0.082,0.929
1601655830905,2020-10-02T12.23.50.905,0.129,-0.226,-0.084,0.932
1601655830915,2020-10-02T12.23.50.915,0.139,-0.219,-0.091,0.926
1601655830925,2020-10-02T12.23.50.925,0.149,-0.237,-0.078,0.915
1601655830934,2020-10-02T12.23.50.934,0.158,-0.256,-0.063,0.923
1601655830944,2020-10-02T12.23.50.944,0.168,-0.252,-0.066,0.941
1601655830954,2020-10-02T12.23.50.954,0.178,-0.228,-0.076,0.954
1601655830965,2020-10-02T12.23.50.965,0.189,-0.227,-0.082,0.946
1601655830973,2020-10-02T12.23.50.973,0.197,-0.232,-0.083,0.954
1601655830984,2020-10-02T12.23.50.984,0.208,-0.231,-0.085,0.965
1601655830994,2020-10-02T12.23.50.994,0.218,-0.243,-0.083,0.963
1601655831004,2020-10-02T12.23.51.004,0.228,-0.249,-0.089,0.969
1601655831014,2020-10-02T12.23.51.014,0.238,-0.242,-0.094,0.951
1601655831023,2020-10-02T12.23.51.023,0.247,-0.231,-0.060,1.021
1601655831033,2020-10-02T12.23.51.033,0.257,-0.281,-0.087,0.911
1601655831044,2020-10-02T12.23.51.044,0.268,-0.242,-0.064,0.910
1601655831054,2020-10-02T12.23.51.054,0.278,-0.211,-0.070,0.941
1601655831063,2020-10-02T12.23.51.063,0.287,-0.229,-0.080,0.927
1601655831073,2020-10-02T12.23.51.073,0.297,-0.245,-0.078,0.922
1601655831083,2020-10-02T12.23.51.083,0.307,-0.227,-0.084,0.941
1601655831094,2020-10-02T12.23.51.094,0.318,-0.215,-0.097,0.945
1601655831104,2020-10-02T12.23.51.104,0.328,-0.228,-0.096,0.935
1601655831113,2020-10-02T12.23.51.113,0.337,-0.238,-0.090,0.937
1601655831123,2020-10-02T12.23.51.123,0.347,-0.235,-0.083,0.944
1601655831133,2020-10-02T12.23.51.133,0.357,-0.231,-0.086,0.945
1601655831143,2020-10-02T12.23.51.143,0.367,-0.231,-0.084,0.943
1601655831152,2020-10-02T12.23.51.152,0.376,-0.235,-0.080,0.949
1601655831162,2020-10-02T12.23.51.162,0.386,-0.232,-0.082,0.951
1601655831173,2020-10-02T12.23.51.173,0.397,-0.224,-0.092,0.951
1601655831183,2020-10-02T12.23.51.183,0.407,-0.233,-0.091,0.948
1601655831193,2020-10-02T12.23.51.193,0.417,-0.246,-0.085,0.955
1601655831202,2020-10-02T12.23.51.202,0.426,-0.235,-0.086,0.960
