epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1601655830786,2020-10-02T12.23.50.786,0.000,0.640,0.457,0.198
1601655830795,2020-10-02T12.23.50.795,0.009,0.808,0.579,0.960
1601655830805,2020-10-02T12.23.50.805,0.019,2.470,2.454,0.991
1601655830815,2020-10-02T12.23.50.815,0.029,3.689,2.515,0.976
1601655830825,2020-10-02T12.23.50.825,0.039,0.686,-0.899,-0.076
1601655830836,2020-10-02T12.23.50.836,0.050,-3.369,-2.942,-1.113
1601655830845,2020-10-02T12.23.50.845,0.059,-3.506,-2.165,-0.579
1601655830855,2020-10-02T12.23.50.855,0.069,-2.683,-0.732,0.229
1601655830865,2020-10-02T12.23.50.865,0.079,-2.210,0.412,0.518
1601655830875,2020-10-02T12.23.50.875,0.089,-1.799,1.570,0.808
1601655830884,2020-10-02T12.23.50.884,0.098,-0.579,3.338,1.098
1601655830894,2020-10-02T12.23.50.894,0.108,-0.030,3.659,1.159
1601655830905,2020-10-02T12.23.50.905,0.119,-1.860,1.829,0.991
1601655830915,2020-10-02T12.23.50.915,0.129,-3.155,0.671,1.723
1601655830925,2020-10-02T12.23.50.925,0.139,-1.189,2.546,2.470
1601655830934,2020-10-02T12.23.50.934,0.148,0.366,1.463,1.951
1601655830944,2020-10-02T12.23.50.944,0.158,0.595,-2.241,0.229
1601655830954,2020-10-02T12.23.50.954,0.168,0.366,-1.997,-0.412
1601655830965,2020-10-02T12.23.50.965,0.179,1.341,0.640,-0.442
1601655830975,2020-10-02T12.23.50.975,0.189,1.479,-0.076,-0.549
1601655830984,2020-10-02T12.23.50.984,0.198,1.341,-0.335,-0.473
1601655830994,2020-10-02T12.23.50.994,0.208,1.921,-0.762,-0.579
1601655831004,2020-10-02T12.23.51.004,0.218,0.107,-3.079,-0.290
1601655831014,2020-10-02T12.23.51.014,0.228,-1.997,-1.860,1.006
1601655831023,2020-10-02T12.23.51.023,0.237,1.357,0.137,1.250
1601655831033,2020-10-02T12.23.51.033,0.247,-2.302,3.354,0.854
1601655831044,2020-10-02T12.23.51.044,0.258,-1.220,0.305,0.061
1601655831054,2020-10-02T12.23.51.054,0.268,-1.662,-1.220,-0.457
1601655831063,2020-10-02T12.23.51.063,0.277,0.091,2.424,-0.137
1601655831073,2020-10-02T12.23.51.073,0.287,2.104,3.598,-0.137
1601655831083,2020-10-02T12.23.51.083,0.297,0.412,-0.107,-0.427
1601655831094,2020-10-02T12.23.51.094,0.308,-0.595,0.046,-0.168
1601655831104,2020-10-02T12.23.51.104,0.318,0.137,1.250,0.473
1601655831113,2020-10-02T12.23.51.113,0.327,0.595,0.213,0.564
